Province,District,Palika,Category,Status,Rows_Added,Started_Date,Completed_Date,Notes
Bagmati,Lalitpur,Lalitpur Metropolitan City,Hospitals,Completed,11,2026-06-28,2026-06-28,"Official hospital/government websites checked; major Lalitpur Metropolitan City hospitals added including Patan/PAHS, Nepal Mediciti, B&B, Alka, Sumeru, Star, Ganeshman Singh Memorial, Megha, Mental Hospital Lagankhel, Nepal Cancer Hospital, and National Cancer Hospital. Category completed for main official-source hospital contacts; smaller clinics may be added later under Health & Ambulance if verified."
Bagmati,Lalitpur,Lalitpur Metropolitan City,Health & Ambulance,Completed,2,2026-06-28,2026-06-28,"Official Lalitpur Metropolitan City contact page and ward profile search checked; ambulance service and COVID-19 isolation center/hotline added. Official health-center phone directory was not found, so health-post rows were not fabricated. Hospitals are tracked separately and completed."
Bagmati,Lalitpur,Lalitpur Metropolitan City,Women & Children,Completed,2,2026-06-28,2026-06-28,Official NWC/Khabar Garau 1145 and NCRC Child Helpline 1098 sources checked and added as Lalitpur coverage rows. No unique LMC women/children office phone was found on official pages.
Bagmati,Lalitpur,Lalitpur Metropolitan City,Disaster & Rescue,Completed,3,2026-06-28,2026-06-28,"Official Lalitpur fire service, NDRRMA/NEOC national disaster coordination, and Nepal Red Cross disaster/humanitarian response contacts added as Lalitpur coverage rows."
Bagmati,Lalitpur,Lalitpur Metropolitan City,Government Complaints,Completed,1,2026-06-28,2026-06-28,Official LMC grievance page checked and municipal grievance/contact row added.
Bagmati,Lalitpur,Lalitpur Metropolitan City,Information & Inquiry,Completed,1,2026-06-28,2026-06-28,Official LMC information officer contact found and added.
Bagmati,Lalitpur,Lalitpur Metropolitan City,Travel & Tourism,Completed,1,2026-06-28,2026-06-28,Official Nepal Police Tourist Police page checked; Tourist Police Mangal Bazar Patan contact and 1144 hotline added. NTB/LMC tourism pages describe Patan and fees but did not publish additional local contact numbers.
Bagmati,Bhaktapur,Bhaktapur Municipality,Disaster & Rescue,Completed,1,2026-06-28,2026-06-28,Official DAO Bhaktapur disaster page and emergency contacts PDF checked; District Administration Office disaster coordination and fire/rescue references captured. Category completed for core official public disaster contacts.
Bagmati,Bhaktapur,Bhaktapur Municipality,Emergency Services,Completed,2,2026-06-28,2026-06-28,"Official NTA short codes, DAO Bhaktapur fire brigade row, and DAO ambulance contacts in Health & Ambulance checked. Core local emergency contacts covered; detailed ward-level emergency contacts can be enriched later from OCR/PDF review."
Bagmati,Bhaktapur,Bhaktapur Municipality,Health & Ambulance,Completed,2,2026-06-28,2026-06-28,Official DAO Bhaktapur emergency contacts PDF and health-post page checked. Bhaktapur Municipality COVID ambulance and Nepal Red Cross Bhaktapur ambulance added; health-post page did not expose phone rows. Hospitals are tracked separately and completed.
Bagmati,Bhaktapur,Bhaktapur Municipality,Hospitals,Completed,3,2026-06-28,2026-06-28,"Official DAO emergency contacts PDF and official Bhaktapur Cancer Hospital website checked; Bhaktapur Hospital, Shahid Dharmabhakta National Transplant Center, and Bhaktapur Cancer Hospital added. Kathmandu Cancer Center is in Tathali outside Bhaktapur Municipality and was not added."
Bagmati,Bhaktapur,Bhaktapur Municipality,Electricity & Utilities,Completed,3,2026-06-28,2026-06-28,"Official DAO Bhaktapur emergency contacts PDF checked; KUKL Dudhpaty, NEA Bhaktapur, and Nepal Telecom Bhaktapur added. Core official utility contacts covered; ward-level utility boundaries not specified."
Bagmati,Bhaktapur,Madhyapur Thimi Municipality,Information & Inquiry,Completed,2,2026-06-28,2026-06-28,Official contact/staff pages checked; IT/inquiry contact and information officer added.
Bagmati,Bhaktapur,Madhyapur Thimi Municipality,Emergency Services,Completed,1,2026-06-28,2026-06-28,Official municipality contact page and DAO Bhaktapur emergency contacts PDF checked; local ambulance contacts plus national emergency short codes covered. No separate official fire brigade row specific to Madhyapur Thimi was found.
Bagmati,Bhaktapur,Madhyapur Thimi Municipality,Government Complaints,Completed,1,2026-06-28,2026-06-28,Official Madhyapur Thimi Municipality grievance page checked and complaint/contact row added.
Bagmati,Bhaktapur,Madhyapur Thimi Municipality,Hospitals,Completed,3,2026-06-28,2026-06-28,"Official NKFMH, Madhyapur Hospital, and Nagarik Community Teaching Hospital sources checked and added. Main official-source hospital contacts covered."
Bagmati,Bhaktapur,Madhyapur Thimi Municipality,Electricity & Utilities,Completed,2,2026-06-28,2026-06-28,Official DAO Bhaktapur emergency contacts PDF checked; Nepal Telecom Thimi and NEA Thimi contacts added. No official Madhyapur Thimi water/sewer branch contact found in this pass; category completed for verified core utility contacts.
Bagmati,Bhaktapur,Suryabinayak Municipality,Government Services,Completed,2,2026-06-28,2026-06-28,"Official municipality contact page, DAO PDF, and ward pages checked; municipal office, CAO, and ward offices captured. Department-specific rows without unique phone numbers were not added."
Bagmati,Bhaktapur,Suryabinayak Municipality,Government Complaints,Completed,1,2026-06-28,2026-06-28,Official contact page feedback/complaint form checked and complaint/contact row added.
Bagmati,Bhaktapur,Suryabinayak Municipality,Information & Inquiry,Completed,1,2026-06-28,2026-06-28,Official municipal general contact added.
Bagmati,Bhaktapur,Suryabinayak Municipality,Health & Ambulance,Completed,2,2026-06-28,2026-06-28,"Official DAO PDF and Suryabinayak health pages checked; COVID special ambulance and public health sub-branch added. Health post pages expose central municipal phone only, so no unsourced facility numbers were added."
Bagmati,Bhaktapur,Suryabinayak Municipality,Hospitals,Completed,1,2026-06-28,2026-06-28,Official Suryabinayak Municipality hospital page checked; Municipality Hospital Dadhikot added using official municipal contact details because no separate hospital phone was exposed.
Bagmati,Bhaktapur,Suryabinayak Municipality,Emergency Services,Completed,1,2026-06-29,2026-06-29,Official DAO Bhaktapur emergency PDF and national official hotline sources checked; core verified coverage row added. No more specific Suryabinayak branch contact was found in this pass.
Bagmati,Bhaktapur,Suryabinayak Municipality,Disaster & Rescue,Completed,1,2026-06-29,2026-06-29,Official DAO Bhaktapur emergency PDF and national official hotline sources checked; core verified coverage row added. No more specific Suryabinayak branch contact was found in this pass.
Bagmati,Bhaktapur,Suryabinayak Municipality,Electricity & Utilities,Completed,1,2026-06-29,2026-06-29,Official DAO Bhaktapur emergency PDF and national official hotline sources checked; core verified coverage row added. No more specific Suryabinayak branch contact was found in this pass.
Bagmati,Bhaktapur,Suryabinayak Municipality,Women & Children,Completed,2,2026-06-29,2026-06-29,Official national/police sources checked and coverage row(s) added; no unique Suryabinayak office contact found.
Bagmati,Bhaktapur,Suryabinayak Municipality,Travel & Tourism,Completed,1,2026-06-29,2026-06-29,Official national/police sources checked and coverage row(s) added; no unique Suryabinayak office contact found.
Bagmati,Bhaktapur,Changunarayan Municipality,Government Services,Completed,4,2026-06-29,2026-06-29,"Official municipal contact page plus current Mayor and Deputy Mayor profile pages checked; central office, CAO/DAO listing, Mayor, and Deputy Mayor contacts added."
Bagmati,Bhaktapur,Changunarayan Municipality,Health & Ambulance,Completed,6,2026-06-29,2026-06-29,"Official DAO PDF and official Changunarayan Municipality diary checked; main municipality, PHC, Red Cross/Telkot/Nagarkot, Harinam Sankirtan, and Tathali Health Center ambulance contacts added. Older diary numbers marked Needs Review where not cross-checked."
Bagmati,Bhaktapur,Changunarayan Municipality,Hospitals,Completed,1,2026-06-29,2026-06-29,Kathmandu Cancer Center row cross-checked against official hospital contact page and updated; older DAO/municipality diary ambulance numbers retained in notes for manual verification.
Bagmati,Bhaktapur,Changunarayan Municipality,Emergency Services,Completed,1,2026-06-29,2026-06-29,Official DAO/national sources checked; emergency short code and local ambulance coverage rows added. Fire brigade is district-level Juddha Barun Yantra already represented in Bhaktapur-area emergency sources.
Bagmati,Bhaktapur,Changunarayan Municipality,Disaster & Rescue,Completed,1,2026-06-29,2026-06-29,Official DAO/national sources checked; disaster/ambulance/municipal coordination coverage row added with national disaster hotlines.
Bagmati,Bhaktapur,Changunarayan Municipality,Women & Children,Completed,2,2026-06-29,2026-06-29,Official DAO/national sources checked; coverage rows added. More local official contacts may need collection.
Bagmati,Bhaktapur,Changunarayan Municipality,Information & Inquiry,Completed,1,2026-06-29,2026-06-29,Official Changunarayan contact page/footer checked; inquiry and toll-free contact added.
Bagmati,Bhaktapur,Changunarayan Municipality,Ward Offices,Completed,9,2026-06-29,2026-06-29,Current official Changunarayan ward pages checked; ward office/contact rows for wards 1-9 updated from official current pages and old diary conflicts noted in row Notes.
Bagmati,Bhaktapur,Changunarayan Municipality,Government Complaints,Completed,1,2026-06-29,2026-06-29,Official Changunarayan contact page/footer checked; toll-free municipal complaint/inquiry contact added.
Bagmati,Bhaktapur,Changunarayan Municipality,Electricity & Utilities,Completed,1,2026-06-29,2026-06-29,Official DAO Bhaktapur emergency contacts PDF checked; NEA and Nepal Telecom Bhaktapur district utility coverage added for Changunarayan.
Bagmati,Bhaktapur,Changunarayan Municipality,Travel & Tourism,Completed,1,2026-06-29,2026-06-29,Official Nepal Police Tourist Police contact used for Changunarayan heritage visitor support coverage; no separate municipal tourism desk found in this pass.
Bagmati,Kathmandu,Kageshwori Manohara Municipality,Government Complaints,Completed,1,2026-06-29,2026-06-29,Official contact page grievance/feedback form checked; complaint contact row added.
Bagmati,Kathmandu,Kageshwori Manohara Municipality,Hospitals,Completed,1,2026-06-29,2026-06-29,Official municipal hospital contact page checked; hospital contact and emergency hours added.
Bagmati,Kathmandu,Kageshwori Manohara Municipality,Emergency Services,Completed,1,2026-06-29,2026-06-29,Official hospital emergency source checked; national emergency short-code coverage added with hospital emergency contact.
Bagmati,Kathmandu,Kageshwori Manohara Municipality,Ward Offices,Completed,9,2026-07-01,2026-07-01,Official municipality ward pages checked; ward contact numbers for wards 1-9 added.
Bagmati,Kathmandu,Kageshwori Manohara Municipality,Travel & Tourism,Completed,1,2026-07-01,2026-07-01,Official Nepal Police Tourist Police contact used for Kathmandu Valley/Kageshwori visitor-support coverage; no municipal tourism desk found.
Bagmati,Kathmandu,Gokarneshwor Municipality,Government Services,Completed,5,2026-07-02,2026-07-02,"Official municipal homepage and contact page checked; central office, Mayor, Deputy Mayor, CAO, and spokesperson contacts added."
Bagmati,Kathmandu,Gokarneshwor Municipality,Information & Inquiry,Completed,1,2026-07-02,2026-07-02,Official contact page checked; inquiry/toll-free row added.
Bagmati,Kathmandu,Gokarneshwor Municipality,Government Complaints,Completed,1,2026-07-02,2026-07-02,Official contact page and site complaint links checked; toll-free complaint/contact row added.
Bagmati,Kathmandu,Gokarneshwor Municipality,Hospitals,Completed,3,2026-07-02,2026-07-02,"Official hospital websites checked; Nepal Medical College, Shankarapur Hospital, and Nepal Orthopaedic Hospital added."
Bagmati,Kathmandu,Gokarneshwor Municipality,Health & Ambulance,Completed,3,2026-07-02,2026-07-02,"Official municipal contact page, Shankarapur Hospital website, and older official municipal COVID ambulance PDF checked; ambulance-specific NMC row marked Needs Review due source age."
Bagmati,Kathmandu,Gokarneshwor Municipality,Emergency Services,Completed,1,2026-07-02,2026-07-02,Official hospital/municipal contacts and national short-code coverage checked; emergency coverage row added.
Bagmati,Kathmandu,Gokarneshwor Municipality,Police & Security,Completed,2,2026-07-02,2026-07-02,"Official Nepal Police emergency coverage and Kathmandu Valley Traffic Police helpline checked; local police post phone not confirmed from official source, so no local post row was fabricated."
Bagmati,Kathmandu,Gokarneshwor Municipality,Disaster & Rescue,Completed,1,2026-07-02,2026-07-02,Official municipal health and hospital emergency contacts checked; disaster coverage row added with national disaster hotlines.
Bagmati,Kathmandu,Gokarneshwor Municipality,Electricity & Utilities,Completed,1,2026-07-02,2026-07-02,Official NEA and KUKL contact pages checked; Kathmandu-level utility coverage row added. Ward-specific utility counter not found.
Bagmati,Kathmandu,Gokarneshwor Municipality,Women & Children,Completed,2,2026-07-02,2026-07-02,Official NWC 1145 and NCRC 1098 national helpline sources checked; Gokarneshwor coverage rows added.
Bagmati,Kathmandu,Gokarneshwor Municipality,Travel & Tourism,Completed,1,2026-07-02,2026-07-02,Official Nepal Police Tourist Police contact used for Kathmandu Valley/Gokarneshwor visitor-support coverage; no municipal tourism desk found.
Bagmati,Kathmandu,Shankharapur Municipality,Government Complaints,Completed,1,2026-07-02,2026-07-02,Official site complaint/problems links and municipal contact page checked; complaint/contact row added.
Bagmati,Kathmandu,Shankharapur Municipality,Hospitals,Completed,2,2026-07-02,2026-07-03,Official ward 9 page confirmed Shankharapur Municipal Hospital contact; nearby Shankarapur Hospital coverage retained. Category completed.
Bagmati,Kathmandu,Shankharapur Municipality,Emergency Services,Completed,1,2026-07-02,2026-07-02,"Official municipal health section, nearby official hospital emergency, and national emergency short-code coverage checked; emergency row added. Updated 2026-07-03 with Shankharapur Municipal Hospital contact from official ward 9 page."
Bagmati,Kathmandu,Shankharapur Municipality,Disaster & Rescue,Completed,1,2026-07-02,2026-07-02,Official municipal health section and national disaster hotline coverage checked; no separate municipal disaster desk found. Updated 2026-07-03 with Shankharapur Municipal Hospital contact from official ward 9 page.
Bagmati,Kathmandu,Shankharapur Municipality,Travel & Tourism,Completed,1,2026-07-02,2026-07-02,Official Nepal Police Tourist Police contact used for Kathmandu Valley/Shankharapur visitor-support coverage; no municipal tourism desk found.
Bagmati,Kathmandu,Tokha Municipality,Ward Offices,Completed,11,2026-07-03,2026-07-03,Official elected officials/ward staff pages checked; ward chair/office contacts for wards 1-11 added.
Bagmati,Kathmandu,Tokha Municipality,Hospitals,Completed,1,2026-07-03,2026-07-03,"Official Grande International Hospital contact page checked; 24/7 hospital contact added. Tokha Chandeshwori Hospital official site found but no clean official phone was confirmed in this pass, so no row was added for it."
Bagmati,Kathmandu,Tokha Municipality,Emergency Services,Completed,1,2026-07-03,2026-07-03,"Official Grande 24/7 hospital contact, Tokha health section, and national emergency short-code coverage checked; emergency row added."
Bagmati,Kathmandu,Tokha Municipality,Electricity & Utilities,Completed,1,2026-07-03,2026-07-03,Official NEA and KUKL contact pages checked; Kathmandu-level utility coverage row added. Ward-specific utility counter not found.
Bagmati,Kathmandu,Tokha Municipality,Travel & Tourism,Completed,1,2026-07-03,2026-07-03,Official Nepal Police Tourist Police contact used for Kathmandu Valley/Tokha visitor-support coverage; no municipal tourism desk found.
Bagmati,Kathmandu,Tarakeshwar Municipality,Hospitals,Completed,2,2026-07-03,2026-07-03,Official Tarakeshwor City Hospital and Green City Hospital contact pages checked; hospital contacts added.
Bagmati,Kathmandu,Tarakeshwar Municipality,Emergency Services,Completed,1,2026-07-03,2026-07-03,"Official hospital contacts, municipal health section, and national emergency short-code coverage checked; emergency row added."
Bagmati,Kathmandu,Tarakeshwar Municipality,Police & Security,Completed,2,2026-07-03,2026-07-03,"Official Nepal Police emergency coverage and Kathmandu Valley Traffic Police helpline checked; local police post phone not confirmed from official source, so no local post row was fabricated."
Bagmati,Kathmandu,Tarakeshwar Municipality,Disaster & Rescue,Completed,2,2026-07-03,2026-07-03,"Official municipal health, hospital, and Environment/Disaster Management branch contacts checked; disaster rows added with national disaster hotlines."
Bagmati,Kathmandu,Tarakeshwar Municipality,Electricity & Utilities,Completed,1,2026-07-03,2026-07-03,Official NEA and KUKL contact pages checked; Kathmandu-level utility coverage row added. Ward-specific utility counter not found.
Bagmati,Kathmandu,Tarakeshwar Municipality,Women & Children,Completed,2,2026-07-03,2026-07-03,Official NWC 1145 and NCRC 1098 national helpline sources checked; Tarakeshwar coverage rows added.
Bagmati,Kathmandu,Tarakeshwar Municipality,Travel & Tourism,Completed,1,2026-07-03,2026-07-03,Official Nepal Police Tourist Police contact used for Kathmandu Valley/Tarakeshwar visitor-support coverage; no municipal tourism desk found.
Bagmati,Kathmandu,Budhanilkantha Municipality,Ward Offices,Completed,13,2026-07-03,2026-07-03,Official ward pages checked; ward contact rows for wards 1-13 added.
Bagmati,Kathmandu,Budhanilkantha Municipality,Hospitals,Completed,3,2026-07-03,2026-07-03,"Official Karuna Hospital, KIOCH, and Budhanilkantha municipal public health staff sources checked; hospital/child health/municipal hospital contacts added."
Bagmati,Kathmandu,Budhanilkantha Municipality,Emergency Services,Completed,1,2026-07-03,2026-07-03,"Official hospital contacts, municipal hotline, and national emergency short-code coverage checked; emergency row added. Updated 2026-07-03 with Budhanilkantha Municipal Hospital contact from official public health staff page."
Bagmati,Kathmandu,Budhanilkantha Municipality,Disaster & Rescue,Completed,1,2026-07-03,2026-07-03,Official municipal hotline and hospital contacts checked; disaster coverage row added with national disaster hotlines. Updated 2026-07-03 with Budhanilkantha Municipal Hospital contact from official public health staff page.
Bagmati,Kathmandu,Budhanilkantha Municipality,Electricity & Utilities,Completed,1,2026-07-03,2026-07-03,Official NEA and KUKL contact pages checked; Kathmandu-level utility coverage row added. Ward-specific utility counter not found.
Bagmati,Kathmandu,Budhanilkantha Municipality,Travel & Tourism,Completed,2,2026-07-03,2026-07-03,Budhanilkantha Tourism Board contact page and official Nepal Police Tourist Police contact checked; tourism support rows added.
Bagmati,Kathmandu,Nagarjun Municipality,Government Complaints,Completed,1,2026-07-03,2026-07-03,Official contact page feedback/grievance form checked; complaint/contact row added.
Bagmati,Kathmandu,Nagarjun Municipality,Hospitals,Completed,1,2026-07-03,2026-07-03,Official MMTH contact/emergency source added. No additional Nagarjun municipal hospital contact confirmed from official sources in this pass; category closed with verified MMTH coverage.
Bagmati,Kathmandu,Nagarjun Municipality,Emergency Services,Completed,1,2026-07-03,2026-07-03,"Official hospital contact, municipal health section, and national emergency short-code coverage checked; emergency row added."
Bagmati,Kathmandu,Nagarjun Municipality,Police & Security,Completed,2,2026-07-03,2026-07-03,"Official Nepal Police emergency coverage and Kathmandu Valley Traffic Police helpline checked; local police post phone not confirmed from official source, so no local post row was fabricated."
Bagmati,Kathmandu,Nagarjun Municipality,Disaster & Rescue,Completed,1,2026-07-03,2026-07-03,Official municipal health and hospital emergency contacts checked; disaster coverage row added with national disaster hotlines.
Bagmati,Kathmandu,Nagarjun Municipality,Travel & Tourism,Completed,1,2026-07-03,2026-07-03,Official Nepal Police Tourist Police contact used for Kathmandu Valley/Nagarjun visitor-support coverage; no municipal tourism desk found.
Bagmati,Kathmandu,Chandragiri Municipality,Government Complaints,Completed,1,2026-07-03,2026-07-03,Official site complaint/problems/feedback links and contact page checked; complaint/contact row added.
Bagmati,Kathmandu,Chandragiri Municipality,Hospitals,Completed,1,2026-07-03,2026-07-03,Official municipality PDF roster checked; Thankot Primary Hospital row added using explicitly listed Medical Officer and Hospital Chief contact. No separate hospital landline found.
Bagmati,Kathmandu,Chandragiri Municipality,Emergency Services,Completed,1,2026-07-03,2026-07-03,Official public health contact and national emergency short-code coverage checked; emergency row added.
Bagmati,Kathmandu,Chandragiri Municipality,Police & Security,Completed,2,2026-07-03,2026-07-03,"Official Nepal Police emergency coverage and Kathmandu Valley Traffic Police helpline checked; local police post phone not confirmed from official source, so no local post row was fabricated."
Bagmati,Kathmandu,Chandragiri Municipality,Travel & Tourism,Completed,2,2026-07-03,2026-07-03,Official Chandragiri Hills contact page and official Nepal Police Tourist Police contact checked; tourism support rows added.
Bagmati,Kathmandu,Kirtipur Municipality,Government Services,Completed,3,2026-07-06,2026-07-06,"Official contact and people representative pages checked; municipal office, Deputy Chief, and spokesperson contacts added. Mayor phone was masked and not used."
Bagmati,Kathmandu,Kirtipur Municipality,Information & Inquiry,Completed,1,2026-07-06,2026-07-06,Official contact page checked; IT/contact person and municipal phones added.
Bagmati,Kathmandu,Kirtipur Municipality,Government Complaints,Completed,1,2026-07-06,2026-07-06,Official contact page and incident reporting link checked; contact-person grievance/inquiry row added. No dedicated complaint hotline found.
Bagmati,Kathmandu,Kirtipur Municipality,Emergency Services,Completed,1,2026-07-06,2026-07-06,Official municipal helpline pages checked; emergency coverage row added with disaster branch and national short-code context.
Bagmati,Kathmandu,Kirtipur Municipality,Police & Security,Completed,3,2026-07-06,2026-07-06,"Official municipal Nepal Police helpline page checked; municipal police, traffic police, and Kirtipur police circle contacts added."
Bagmati,Kathmandu,Kirtipur Municipality,Hospitals,Completed,2,2026-07-06,2026-07-06,Official municipal ambulance support and PHECT Kirtipur Hospital page checked; Kirtipur Hospital and Bishnu Devi Hospital contacts added.
Bagmati,Kathmandu,Kirtipur Municipality,Disaster & Rescue,Completed,2,2026-07-06,2026-07-06,Official municipal helpline and Red Cross pages checked; disaster branch and Red Cross support contacts added.
Bagmati,Kathmandu,Kirtipur Municipality,Women & Children,Completed,2,2026-07-06,2026-07-06,Municipal women/child helpline pages checked but local rows were blank; official national NWC/NCRC coverage rows added.
Bagmati,Kathmandu,Kirtipur Municipality,Electricity & Utilities,Completed,1,2026-07-06,2026-07-06,Official NEA/KUKL central sources checked; Kirtipur-specific utility office not found in this pass.
Bagmati,Kathmandu,Kirtipur Municipality,Travel & Tourism,Completed,1,2026-07-06,2026-07-06,Official Nepal Tourism Board Kirtipur page checked; tourism information row added with tourist police code context.
Bagmati,Kathmandu,Dakshinkali Municipality,Government Complaints,Completed,1,2026-07-06,2026-07-06,"Homepage and contact page checked; grievance/problem-registration routes exist, but no separate complaint hotline was found."
Bagmati,Kathmandu,Dakshinkali Municipality,Emergency Services,Completed,1,2026-07-06,2026-07-06,Official municipal phonebook and contact page checked; emergency coverage row added using municipal ambulance and office phone plus national short-code context.
Bagmati,Kathmandu,Dakshinkali Municipality,Police & Security,Completed,2,2026-07-06,2026-07-06,Official municipal phonebook and city police page checked; municipal police and Pharping Area Police Office contacts added.
Bagmati,Kathmandu,Dakshinkali Municipality,Hospitals,Completed,2,2026-07-06,2026-07-06,Official municipal phonebook checked; Dakshinkali Municipal Hospital and Nimohan Community Hospital contacts added.
Bagmati,Kathmandu,Dakshinkali Municipality,Women & Children,Completed,3,2026-07-06,2026-07-06,Official municipal staff page and official national helpline sources checked; local municipal branch plus 1145 and 1098 coverage rows added.
Bagmati,Kathmandu,Dakshinkali Municipality,Electricity & Utilities,Completed,2,2026-07-06,2026-07-06,Official municipal phonebook checked; NEA Pharping and KUKL Pharping local contacts added.
Bagmati,Kathmandu,Dakshinkali Municipality,Disaster & Rescue,Completed,1,2026-07-06,2026-07-06,Official municipal phonebook checked; local Red Cross support contact added.
Bagmati,Kathmandu,Dakshinkali Municipality,Travel & Tourism,Completed,1,2026-07-06,2026-07-06,Official municipal phonebook checked; Dakshinkali religious/cultural area development committee contact added.
Bagmati,Kathmandu,Dakshinkali Municipality,Ward Offices,Completed,9,2026-07-06,2026-07-06,Official municipal phonebook checked; all 9 ward office landlines and ward secretary mobiles added.
Bagmati,Lalitpur,Godawari Municipality,Government Services,Completed,5,2026-07-06,2026-07-06,"Official contact, elected-officials, and staff pages checked; municipal office, Mayor, Deputy Mayor, CAO, and spokesperson contacts added."
Bagmati,Lalitpur,Godawari Municipality,Information & Inquiry,Completed,2,2026-07-06,2026-07-06,Official staff and contact pages checked; Information Officer and Audio Notice Board rows added.
Bagmati,Lalitpur,Godawari Municipality,Government Complaints,Completed,1,2026-07-06,2026-07-06,Official contact page checked; feedback/grievance contact row added. No dedicated complaint hotline found in this pass.
Bagmati,Lalitpur,Godawari Municipality,Emergency Services,Completed,1,2026-07-06,2026-07-06,Official audio notice board and national emergency short-code context checked; emergency coverage row added.
Bagmati,Lalitpur,Godawari Municipality,Police & Security,Completed,2,2026-07-06,2026-07-06,Official Lalitpur police range and traffic police sources checked; police coverage rows added.
Bagmati,Lalitpur,Godawari Municipality,Health & Ambulance,Completed,1,2026-07-06,2026-07-06,Official municipal staff page checked; Public Health Inspector contact added. Local ambulance/hospital switchboard not confirmed in this pass.
Bagmati,Lalitpur,Godawari Municipality,Hospitals,Completed,2,2026-07-06,2026-07-09,Official municipal sources confirm Godawari Municipality Hospital in Ward 12 and Bajrabarahi Primary Hospital in Ward 11; two hospital rows added using official municipal public contacts because separate hospital switchboards were not clearly published in this pass.
